Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"An Anchor-Free and Angle-Free Detector for Oriented Object Detection Using Bounding Box Projection","The AF2Det anchor-free and angle-free detector effectively detects oriented objects in remote sensing images, outperforming other anchor-free algorithms and achieving competitive results.","Donghang Yu, Haitao Guo, Chuan Zhao, Xiang-Ming Liu, Qing Xu, Yuzhun Lin, Lei Ding",2023,19,"The detection and recognition of oriented objects in remote sensing images is a challenging task due to their complex backgrounds, various sizes, diverse aspect ratios, and especially arbitrary orientations. Many oriented object detection algorithms need to obtain accurate angles or adopt anchors to predict the oriented bounding boxes (OBBs). When directly predicting the angles of objects’ OBBs, the loss of angle is discontinuous during training, which makes it difficult to obtain accurate boundary of oriented objects. And the anchors also aggravate the problems of class imbalance and computational cost. To address the above problems, this article proposes an anchor-free and angle-free detector called AF2Det. AF2Det adopts the information of the bounding box projection (BBP) instead of the angle to represent and reconstruct the object’s OBBs, which could avoid the problem of boundary discontinuity. To predict the information of the BBP, an anchor-free architecture is built to predict objects as points based on a simple but strong U-shaped architecture. And the deformable convolution (DConv) and the bottom-up feature fusion (FF) method are integrated effectively to enhance AF2Det’s capacity for objects’ shapes, orientations, and scales. The extensive experiments are conducted on multiple datasets, i.e., HRSC2016, FGSD2021, DOTA, and RSDD-SAR to validate the effectiveness of our method. The experimental results demonstrate that the proposed AF2Det outperforms other anchor-free algorithms and obtains competitive results on oriented object detection.","","IEEE Transactions on Geoscience and Remote Sensing","1","10.1109/tgrs.2023.3305729","https://consensus.app/papers/an-anchorfree-and-anglefree-detector-for-oriented-object-yu-guo/fa6e67facb275f418af9a649726b8fe2/"
"Gliding Vertex on the Horizontal Bounding Box for Multi-Oriented Object Detection","The proposed method effectively detects multi-oriented objects in aerial images, scene texts, and fisheye images, outperforming existing methods.","Yongchao Xu, Mingtao Fu, Qimeng Wang, Yukang Wang, Kai Chen, Guisong Xia, X. Bai",2019,890,"Object detection has recently experienced substantial progress. Yet, the widely adopted horizontal bounding box representation is not appropriate for ubiquitous oriented objects such as objects in aerial images and scene texts. In this paper, we propose a simple yet effective framework to detect multi-oriented objects. Instead of directly regressing the four vertices, we glide the vertex of the horizontal bounding box on each corresponding side to accurately describe a multi-oriented object. Specifically, We regress four length ratios characterizing the relative gliding offset on each corresponding side. This may facilitate the offset learning and avoid the confusion issue of sequential label points for oriented objects. To further remedy the confusion issue for nearly horizontal objects, we also introduce an obliquity factor based on area ratio between the object and its horizontal bounding box, guiding the selection of horizontal or oriented detection for each object. We add these five extra target variables to the regression head of faster R-CNN, which requires ignorable extra computation time. Extensive experimental results demonstrate that without bells and whistles, the proposed method achieves superior performances on multiple multi-oriented object detection benchmarks including object detection in aerial images, scene text detection, pedestrian detection in fisheye images.","","IEEE Transactions on Pattern Analysis and Machine Intelligence","1","10.1109/tpami.2020.2974745","https://consensus.app/papers/gliding-vertex-on-the-horizontal-bounding-box-for-xu-fu/7b00e909685151a0ae808fdd09ff5512/"
"SAFDet: A Semi-Anchor-Free Detector for Effective Detection of Oriented Objects in Aerial Images","The semi-anchor-free detector (SAFDet) effectively detects oriented objects in aerial images, balancing accuracy and computational cost, with a rotation-anchor-free-branch and center-prediction-module.","Zhenyu Fang, Jinchang Ren, He Sun, S. Marshall, Junwei Han, Huimin Zhao",2020,10,"An oriented bounding box (OBB) is preferable over a horizontal bounding box (HBB) in accurate object detection. Most of existing works utilize a two-stage detector for locating the HBB and OBB, respectively, which have suffered from the misaligned horizontal proposals and the interference from complex backgrounds. To tackle these issues, region of interest transformer and attention models were proposed, yet they are extremely computationally intensive. To this end, we propose a semi-anchor-free detector (SAFDet) for object detection in aerial images, where a rotation-anchor-free-branch (RAFB) is used to enhance the foreground features via precisely regressing the OBB. Meanwhile, a center-prediction-module (CPM) is introduced for enhancing object localization and suppressing the background noise. Both RAFB and CPM are deployed during training, avoiding increased computational cost of inference. By evaluating on DOTA and HRSC2016 datasets, the efficacy of our approach has been fully validated for a good balance between the accuracy and computational cost.","","Remote. Sens.","1","10.3390/rs12193225","https://consensus.app/papers/safdet-a-semianchorfree-detector-for-effective-detection-fang-ren/fecea41466d8518ab4c30a8905807db7/"
"Align Deep Features for Oriented Object Detection","The S2A-Net, consisting of a feature alignment module and an oriented detection module, improves object detection in aerial images by aligning convolutional features and addressing misalignment issues.","Jiaming Han, Jian Ding, Jie Li, Guisong Xia",2020,1085,"The past decade has witnessed significant progress on detecting objects in aerial images that are often distributed with large-scale variations and arbitrary orientations. However, most of existing methods rely on heuristically defined anchors with different scales, angles, and aspect ratios, and usually suffer from severe misalignment between anchor boxes (ABs) and axis-aligned convolutional features, which lead to the common inconsistency between the classification score and localization accuracy. To address this issue, we propose a single-shot alignment network (S2A-Net) consisting of two modules: a feature alignment module (FAM) and an oriented detection module (ODM). The FAM can generate high-quality anchors with an anchor refinement network and adaptively align the convolutional features according to the ABs with a novel alignment convolution. The ODM first adopts active rotating filters to encode the orientation information and then produces orientation-sensitive and orientation-invariant features to alleviate the inconsistency between classification score and localization accuracy. Besides, we further explore the approach to detect objects in large-size images, which leads to a better trade-off between speed and accuracy. Extensive experiments demonstrate that our method can achieve the state-of-the-art performance on two commonly used aerial objects’ data sets (i.e., DOTA and HRSC2016) while keeping high efficiency.","","IEEE Transactions on Geoscience and Remote Sensing","1","10.1109/tgrs.2021.3062048","https://consensus.app/papers/align-deep-features-for-oriented-object-detection-han-ding/712c88a6e5135618a18102738f983678/"
"Task-Wise Sampling Convolutions for Arbitrary-Oriented Object Detection in Aerial Images","Task-wise sampling convolutions (TS-Conv) improves arbitrary-oriented object detection in aerial images by adaptively sampling features and assigning labels dynamically based on task-aware scores.","Zhanchao Huang, Wei Li, X. Xia, Hao Wang, Ran Tao",2022,21,"Arbitrary-oriented object detection (AOOD) has been widely applied to locate and classify objects with diverse orientations in remote sensing images. However, the inconsistent features for the localization and classification tasks in AOOD models may lead to ambiguity and low-quality object predictions, which constrains the detection performance. In this article, an AOOD method called task-wise sampling convolutions (TS-Conv) is proposed. TS-Conv adaptively samples task-wise features from respective sensitive regions and maps these features together in alignment to guide a dynamic label assignment for better predictions. Specifically, sampling positions of the localization convolution in TS-Conv are supervised by the oriented bounding box (OBB) prediction associated with spatial coordinates, while sampling positions and convolutional kernel of the classification convolution are designed to be adaptively adjusted according to different orientations for improving the orientation robustness of features. Furthermore, a dynamic task-consistent-aware label assignment (DTLA) strategy is developed to select optimal candidate positions and assign labels dynamically according to ranked task-aware scores obtained from TS-Conv. Extensive experiments on several public datasets covering multiple scenes, multimodal images, and multiple categories of objects demonstrate the effectiveness, scalability, and superior performance of the proposed TS-Conv.","","IEEE Transactions on Neural Networks and Learning Systems","1","10.1109/tnnls.2024.3367331","https://consensus.app/papers/taskwise-sampling-convolutions-for-arbitraryoriented-huang-li/bcbe95bd857453a48ecaee0c603fbf59/"
"Research on Vehicle Detection in Infrared Aerial Images in Complex Urban and Road Backgrounds","The RYOLOv5_D model improves vehicle detection accuracy in infrared aerial images, achieving 82.6% and 84.3% accuracies, with reduced computational complexity compared to other advanced models.","Chengrui Yu, Xiaonan Jiang, Fanlu Wu, Yao Fu, Yu Zhang, Xiangzhi Li, Tianjiao Fu, Junyan Pei",2024,12,"The detection of vehicle targets in infrared aerial remote sensing images captured by drones presents challenges due to a significant imbalance in vehicle distribution, complex backgrounds, the large scale of vehicles, and the dense and arbitrarily oriented distribution of targets. The RYOLOv5_D model is proposed based on the YOLOv5-obb rotation model. Firstly, we reconstruct a new vehicle remote sensing dataset, BalancedVehicle, to achieve data balance. Secondly, given the challenges of complex backgrounds in infrared remote sensing images, the AAHE method is proposed to highlight infrared remote sensing vehicle targets while reducing background interference during the detection process. Moreover, in order to address the issue of detecting challenges under complex backgrounds, the CPSAB attention mechanism is proposed, which could be used together with DCNv2. GSConv is also used to reduce the model parameters while ensuring accuracy. This combination could improve the model’s generalization ability and, consequently, enhance the detection accuracy for various vehicle categories. The RYOLOv5s_D model, trained on the self-built dataset BalancedVehicle, demonstrates a notable improvement in its mean average precision (mAP), increasing from 73.6% to 78.5%. Specifically, the average precision (AP) for large aspect ratio vehicles such as trucks and freight cars increases by 11.4% and 8%, respectively. The RYOLOv5m_D and RYOLOv5l_D models achieve accuracies of 82.6% and 84.3%. The Param of RYOLOv5_D is similar to that of the YOLOv5-obb, while possessing a decrease in computational complexity of 0.6, 4.5, and 12.8GFLOPS. In conclusion, the RYOLOv5_D model’s superior accuracy and real-time capabilities in infrared remote sensing vehicle scenarios are validated by comparing various advanced models based on rotation boxes on the BalancedVehicle dataset.","","Electronics","4","10.3390/electronics13020319","https://consensus.app/papers/research-on-vehicle-detection-in-infrared-aerial-images-in-yu-jiang/82fc45a8da965f7bb888a34cd66bc993/"
"Posterior Instance Injection Detector for Arbitrary-Oriented Object Detection From Optical Remote-Sensing Imagery","The posterior instance injection detector (PIIDet) improves arbitrary-oriented object detection from optical remote-sensing imagery by learning specific categories and parametric information of oriented boundary boxes.","Tong Zhang, Zhuang Yin, He Chen, Guanqun Wang, Lihui Ge, Liang Chen, Hao Dong, Lianlin Li",2023,26,"Arbitrary-oriented object detection (AOOD) from optical remote-sensing imagery has to correctly generate delicate oriented boundary box (OBB) and meanwhile identify their specific categories. However, how to make detectors learn the delicate parameters of OBBs, especially for the crucial orientation information, and identify object categories from complex backgrounds becomes a challenging task. Therefore, in this article, to explore a better way to guide the detector to learn specific categories and parametric information of OBBs, a novel one-stage anchor-free detector called posterior instance injection detector (PIIDet) is proposed for AOOD. First, as the anchor-free manner lacks prior information, an object-aware posterior guidance (OAPG) structure is proposed to generate specific-category instances used for conditioning on OBB prediction. This structure can assist the proposed PIIDet in better learning the relative parametric information of OBBs corresponding to their specific categories. Besides, to guarantee a high-quality injection of specific category instances, a new hierarchical feature fusion module (HFFM) is developed to establish a suitable multiscale feature mapping space. Second, considering the negative optimization of angle regression, which is caused by the boundary discontinuity of angular periods and sudden shifts of the relation between width and height in the training phase, a novel binary classification embedded angle regression space (BCE-RegSpace) is devised for providing continuous angle regression space and stable relation between the width and height. Finally, extensive experiments are executed on three AOOD benchmarks (e.g., DOTA, DIOR-R, and HRSC2016), and results proved that the proposed concise one-stage anchor-free PIIDet can reach the state-of-the-art (SOTA) performance and meanwhile have an impressive inference speed.","","IEEE Transactions on Geoscience and Remote Sensing","1","10.1109/tgrs.2023.3327123","https://consensus.app/papers/posterior-instance-injection-detector-for-zhang-yin/a9da665078c754d9a4c216573d1701ba/"
"High-Quality Angle Prediction for Oriented Object Detection in Remote Sensing Images","Our novel angle quality estimation (AQE) method improves oriented object detection in remote sensing images by addressing representation and optimization misalignments.","Guanchun Wang, Xiangrong Zhang, Peng Zhu, Xu Tang, Puhua Chen, Licheng Jiao, Huiyu Zhou",2023,18,"Oriented object detection is a challenging task in remote sensing, where the detected objects can be represented by oriented bounding boxes (OBBs). Angle prediction in oriented object detection has been widely studied, due to its crucial role in object detection. However, the precision of angle prediction is severely limited by misalignments in most of the existing methods, including representation-, evaluation-, and optimization-based misalignments. To alleviate these misalignments, this article presents a novel angle prediction method, called angle quality estimation (AQE). Specifically, our proposed AQE transforms the angle prediction task into a distribution estimation task to address the representation misalignment problem and implicitly measure the quality of the predicted angles. Based on the estimated AQ, we then propose a new metric to comprehensively evaluate the quality of OBBs. Then, we propose an object aspect ratio-based loss function to optimize angle prediction for addressing the optimization misalignment. Our proposed AQE is a plug-and-play method, which can be embedded on any existing oriented object detector. Experimental results on three public benchmarks, including dataset for object detection in aerial images (DOTA), high resolution ship collections 2016 (HRSC2016), and International Conference on Document Analysis and Recognition 2015 (ICDAR2015) datasets, show that our method achieves better performance than the other state of the arts.","","IEEE Transactions on Geoscience and Remote Sensing","1","10.1109/tgrs.2023.3292111","https://consensus.app/papers/highquality-angle-prediction-for-oriented-object-wang-zhang/354a4c1a9b18524ab4dab25b7db7ff54/"
"Single-Stage Rotation-Decoupled Detector for Oriented Object","The novel rotation detector improves object detection accuracy and efficiency by decoupling the rotating bounding box into a horizontal bounding box during matching.","Bo Zhong, Kai Ao",2020,34,"Oriented object detection has received extensive attention in recent years, especially for the task of detecting targets in aerial imagery. Traditional detectors locate objects by horizontal bounding boxes (HBBs), which may cause inaccuracies when detecting objects with arbitrary oriented angles, dense distribution and a large aspect ratio. Oriented bounding boxes (OBBs), which add different rotation angles to the horizontal bounding boxes, can better deal with the above problems. New problems arise with the introduction of oriented bounding boxes for rotation detectors, such as an increase in the number of anchors and the sensitivity of the intersection over union (IoU) to changes of angle. To overcome these shortcomings while taking advantage of the oriented bounding boxes, we propose a novel rotation detector which redesigns the matching strategy between oriented anchors and ground truth boxes. The main idea of the new strategy is to decouple the rotating bounding box into a horizontal bounding box during matching, thereby reducing the instability of the angle to the matching process. Extensive experiments on public remote sensing datasets including DOTA, HRSC2016 and UCAS-AOD demonstrate that the proposed approach achieves state-of-the-art detection accuracy with higher efficiency.","","Remote. Sens.","1","10.3390/rs12193262","https://consensus.app/papers/singlestage-rotationdecoupled-detector-for-oriented-zhong-ao/30cf4b1014315a13815ac81b6d4591af/"
"HDDet: A More Common Heading Direction Detector for Remote Sensing and Arbitrary Viewing Angle Images","HDDet improves object heading detection accuracy by combining CAM, MDAE, and CosWeight strategies, outperforming existing methods and surpassing existing standards.","Siran Ding, Jingxian Liu, Fan Yang, Mai Xu",2024,5,"Object heading detection (OHD) offers potential for research in the control and traffic analysis sectors. Contemporary methodologies in OHD grapple with a set of distinct limitations: a constrained range of detectable object types, a discernible drop in accuracy for oriented bounding box (OBB) predictions influenced by heading estimations, and the inherent limitations associated with the exclusive perspective of bird’s-eye view imagery. This article introduces heading direction detector (HDDet), an advanced method devised for detecting the OBB of objects with heading direction from various viewpoints. It sequentially delineates the circular annotation method (CAM), multidimensional angle encoding (MDAE), and the CosWeight strategy. CAM initially couples OBB data with heading details for accurate target delineation. MDAE follows, optimizing angle encoding to boost the model’s training process. The culmination of this approach is CosWeight, which integrates the Rotated-intersection over union (IoU) and heading information into the horizontal box’s loss, thereby enhancing the precision of heading predictions. Rigorous testing across diverse datasets, including the SJTU-L dataset where the heading accuracy increased from 64.41% to 94.82% over OHDet, validates HDDet’s enhanced capabilities, surpassing existing methodologies in both OBB detection and heading accuracy, and marking a significant advancement over the state-of-the-art OHDet. Additionally, this article presents an engineering vehicle dataset, which is conducive to multiperspective OHD research.","","IEEE Transactions on Geoscience and Remote Sensing","1","10.1109/tgrs.2024.3377643","https://consensus.app/papers/hddet-a-more-common-heading-direction-detector-for-remote-ding-liu/1e7439dfb53a50d2b02118dec371db89/"
"On Improving Bounding Box Representations for Oriented Object Detection","Our bounding box representation, inspired by the polar coordinate system, improves object detection accuracy and speed in remote sensing images.","Yanqing Yao, Gong Cheng, Guangxing Wang, Shengyang Li, Peicheng Zhou, Xingxing Xie, Junwei Han",2023,125,"Detecting objects in remote sensing images (RSIs) using oriented bounding boxes (OBBs) is flourishing but challenging, wherein the design of OBB representations is the key to achieving accurate detection. In this article, we focus on two issues that hinder the performance of the two-stage oriented detectors: 1) the notorious boundary discontinuity problem, which would result in significant loss increases in boundary conditions, and 2) the inconsistency in regression schemes between the two stages. We propose a simple and effective bounding box representation by drawing inspiration from the polar coordinate system and integrate it into two detection stages to circumvent the two issues. The first stage specifically initializes four quadrant points as the starting points of the regression for producing high-quality oriented candidates without any postprocessing. In the second stage, the final localization results are refined using the proposed novel bounding box representation, which can fully release the capabilities of the oriented detectors. Such consistency brings a good trade-off between accuracy and speed. With only flipping augmentation and single-scale training and testing, our approach with ResNet-50-FPN harvests 76.25% mAP on the DOTA dataset with a speed of up to 16.5 frames/s, achieving the best accuracy and the fastest speed among the mainstream two-stage oriented detectors. Additional results on the DIOR-R and HRSC2016 datasets also demonstrate the effectiveness and robustness of our method. The source code is publicly available at https://github.com/yanqingyao1994/QPDet.","","IEEE Transactions on Geoscience and Remote Sensing","1","10.1109/tgrs.2022.3231340","https://consensus.app/papers/on-improving-bounding-box-representations-for-oriented-yao-cheng/eb68e06f120f590b9484af4efb39452f/"
"WSODet: A Weakly Supervised Oriented Detector for Aerial Object Detection","WSODet effectively predicts precise oriented aerial objects in optical remote sensing images, achieving 22.2%, 46.5%, and 43.3% mAP on DIOR, NWPU, VHR-10.v2, and HRSC2016 datasets.","Z. Tan, Zhi-guo Jiang, Chen Guo",2023,43,"In contrast to natural objects, aerial targets are usually non-axis aligned with arbitrary orientations. However, mainstream weakly supervised object detection (WSOD) methods can only predict horizontal bounding boxes (HBBs) from existing proposals generated by offline algorithms. To predict oriented bounding boxes (OBBs) for aerial targets while testing images end-to-end without proposals, WSODet is designed leveraging on layerwise relevance propagation (LRP) and point set representation (RepPoints). To be specific, based on the mainstream WSOD framework, LRP on multiple instance learning branch (MIL-LRP) is conducted to decrease the uncertainty and ambiguity of feature map. Then, a pseudo oriented label generation algorithm is designed to obtain OBB pseudolabels, which serve as supervision to train an oriented RepPoint Net under the guidance of improved oriented loss function (IOLF). During the test, input images are sent to oriented RepPoint branch (ORB) to obtain OBB predictions without proposals. Extensive experiments on the detection in optical remote sensing images (DIOR), Northwestern Polytechnical University (NWPU) VHR-10.v2, and HRSC2016 datasets demonstrate the effectiveness of our method to predict precise oriented aerial objects, achieving 22.2%, 46.5%, and 43.3% mAP, respectively. Moreover, training jointly with ORB boosts the results of the original WSOD framework compared with the existing WSOD methods even if there is no specific design for the original structure.","","IEEE Transactions on Geoscience and Remote Sensing","1","10.1109/tgrs.2023.3247578","https://consensus.app/papers/wsodet-a-weakly-supervised-oriented-detector-for-aerial-tan-jiang/52d8a823257757e4a2ed8e004bc90d26/"
"Learning Center Probability Map for Detecting Objects in Aerial Images","Our proposed CenterMap OBB representation effectively eliminates ambiguities in target definitions and background pixels, improving object detection accuracy in aerial images.","Jinwang Wang, Wen Yang, Hengchao Li, Haijian Zhang, Guisong Xia",2020,226,"One fundamental problem in Earth Vision is to accurately find the locations and identify the categories of the interesting objects in the aerial images, for which oriented bounding boxes (OBBs) are usually employed to depict better the objects emerging with arbitrary orientations. However, the regression of the OBBs always suffers from the ambiguous problem in the definition of the regression targets, which often reduces the convergency efficiency and decreases the detection accuracy. Although there are some methods like the binary segmentation map that can handle this problem, it brings a new problem of ambiguous background pixels in the OBBs. In this article, we propose to cast the OBB regression as a center-probability-map (CenterMap)-prediction problem, thus largely eliminating the ambiguities on the target definitions and the background pixels. The predicted CenterMaps are then used to generate the OBBs. The CenterMap OBB representation is simple, yet effective. Furthermore, to distinguish better the interesting objects from the cluttered background, a weighted pseudosegmentation-guided attention network is adopted to provide the object-level features for predicting the horizontal bounding boxes and the OBBs. The experimental results on three widely used data sets, i.e., DOTA, HRSC2016, and UCAS-AOD, demonstrate the effectiveness of our proposed method.","","IEEE Transactions on Geoscience and Remote Sensing","1","10.1109/tgrs.2020.3010051","https://consensus.app/papers/learning-center-probability-map-for-detecting-objects-in-wang-yang/1db07089ce0254949147926c5741ec7a/"
"Building a Bridge of Bounding Box Regression Between Oriented and Horizontal Object Detection in Remote Sensing Images","The unified transferring strategy (UTS) facilitates the transfer of bounding box regression losses from horizontal object detection to oriented object detection, leading to better performance in remote sensing images.","Xiaoliang Qian, Baokun Wu, Gong Cheng, Xiwen Yao, Wei Wang, Junwei Han",2023,102,"Oriented object detection (OOD) aims to precisely detect the objects with arbitrary orientation in remote sensing images (RSIs). Up to now, most of the bounding box regression (BBR) losses for OOD are transferred from horizontal object detection (HOD) methods; however, the transferring requires lots of professional knowledge and experiences for designers, and consequently, many excellent BBR losses for HOD have not been transferred to OOD. To accelerate the research progress of BBR loss for OOD, a unified transferring strategy (UTS) is proposed to facilitate the transferring of BBR loss from HOD to OOD. The UTS proposes that the BBR of oriented bounding box (OBB) can be converted into the joint BBR of its horizontal smallest enclosing rectangle (HSER) and two offsets, so the BBR loss in HOD can be easily transferred to OOD using HSER as a bridge (BR). Following the UTS, a BBR loss named rotated-intersection of union (RIoU) loss is designed for OOD by transferring an advanced BBR loss in HOD, which can be considered as an example to show how to transfer. On the basis of RIoU loss, a focal RIoU (FRIoU) loss is proposed to assign larger weights to hard samples in the BBR. The comparisons with other BBR losses show that the RIoU and FRIoU losses can give better performance. The ablation study shows that giving more attention to hard samples in BBR is effective. The comparisons with many advanced methods demonstrate that the combinations of baseline methods and FRIoU loss achieve state-of-the-art (SOTA) performance on the DOTA and DIOR-R datasets.","","IEEE Transactions on Geoscience and Remote Sensing","1","10.1109/tgrs.2023.3256373","https://consensus.app/papers/building-a-bridge-of-bounding-box-regression-between-qian-wu/402d6b1e8057558aaae622969d41eba7/"
"LO-Det: Lightweight Oriented Object Detection in Remote Sensing Images","The LO-Det lightweight oriented object detector (LO-Det) efficiently detects oriented bounding boxes in remote sensing images, maintaining high accuracy while running fast on embedded devices.","Zhanchao Huang, Wei Li, X. Xia, Hao Wang, F. Jie, R. Tao",2021,67,"A few lightweight convolutional neural network (CNN) models have been recently designed for remote sensing object detection (RSOD). However, most of them simply replace vanilla convolutions with stacked separable convolutions (SConvs), which may not be efficient due to a lot of precision losses and may not be able to detect oriented bounding boxes (OBBs). Also, the existing OBB detection methods are difficult to constrain the shape of objects predicted by CNNs accurately. In this article, we propose an effective lightweight oriented object detector (LO-Det). Specifically, a channel separation-aggregation (CSA) structure is designed to simplify the complexity of SConvs, and a dynamic receptive field (DRF) mechanism is developed to maintain high accuracy by customizing the convolution kernel and its perception range dynamically when reducing the network complexity. The CSA-DRF component optimizes efficiency while maintaining high accuracy. Then, a diagonal support constraint head (DSC-Head) component is designed to detect OBBs and constrain their shapes more accurately and stably. Extensive experiments on public data sets demonstrate that the proposed LO-Det can run very fast even on embedded devices with the competitive accuracy of detecting oriented objects.","","IEEE Transactions on Geoscience and Remote Sensing","1","10.1109/tgrs.2021.3067470","https://consensus.app/papers/lodet-lightweight-oriented-object-detection-in-remote-huang-li/ad85a06059595ae49d63e4b614fd1b8d/"
"Gaussian Synthesis for High-Precision Location in Oriented Object Detection","Gaussian synthesis (GauS) algorithm improves high-precision performance in oriented object detection by transforming bounding boxes into Gaussian space and combining them with a decoding method.","Zhonghua Li, B. Hou, Zitong Wu, Bo Ren, Zhongle Ren, Licheng Jiao",2023,9,"In aerial image scenes, the objects have properties of arbitrary orientation, large-scale range, and dense distribution. Thus, the object detector uses an oriented bounding box (OBB) to locate objects, which is more complex and challenging than a horizontal bounding box (HBB) detector. Mainstream OBB detectors mostly use a one-to-many label assignment strategy to predict multiple bounding boxes for the same object and filter out repeat predictions by nonmaximum suppression (NMS). NMS ranks with confidence and drops the detection box with intersection over union (IoU) higher than the threshold, which makes it easy to get the local optimum result. The clustered synthesis method gets more accurate results than the original NMS, but applying it to the OBB detector leads to border shift, which arises from the angular discontinuity problem. Therefore, we use Gaussian OBB (G-OBB) to deal with the angular discontinuity and thus eliminate the offset generated by direct synthesis. G-OBB is not easy to understand and describe representation. For this reason, we analyze the properties of G-OBB and design a decoding method to convert a G-OBB to a rotated rectangular box, further discussing its conditions. Based on the decoding method, we propose a Gaussian synthesis (GauS) algorithm, which transforms the OBB into Gaussian space, followed by synthesis, and finally transforms the synthesis result back into a new OBB. We have derived the synthesis and decoding methods and further verified their effectiveness. The extensive experiments on several existing models show that GauS takes very little computation and improves the detector’s high-precision performance. Extensive experiments verify the effectiveness, stability, and universality of the proposed algorithm. In addition, the RTMDet using GauS achieves a performance of 81.61 AP50 and gains a 0.39% improvement in mean average precision (mAP), which achieves the state-of-the-art (SOTA) performance. Our implementation is available at https://github.com/lzh420202/GauS.","","IEEE Transactions on Geoscience and Remote Sensing","1","10.1109/tgrs.2023.3310619","https://consensus.app/papers/gaussian-synthesis-for-highprecision-location-in-li-hou/03761486df1e51138d84cee5447509bc/"
"Adaptive multi-level feature fusion and attention-based network for arbitrary-oriented object detection in remote sensing imagery","The proposed arbitrary-oriented object detection framework, consisting of three main parts, outperforms existing methods in multi-orientated object detection in remote sensing imagery.","Luchang Chen, Chunsheng Liu, F. Chang, Shuang Li, Zhaoying Nie",2021,42,"","","Neurocomputing","1","10.1016/j.neucom.2021.04.011","https://consensus.app/papers/adaptive-multilevel-feature-fusion-and-attentionbased-chen-liu/8e304b2b1aff5ebf8c8ed41266b8d770/"
"Dynamic Obstacle Perception Technology for UAVs Based on LiDAR","This LiDAR-based obstacle perception algorithm for small quadcopter drones effectively detects dynamic obstacles in environments with a detection frequency of 10 Hz.","Wei-xing Xia, Feifei Song, Zimeng Peng",2025,5,"With the widespread application of small quadcopter drones in the military and civilian fields, the security challenges they face are gradually becoming apparent. Especially in dynamic environments, the rapidly changing conditions make the flight of drones more complex. To address the computational limitations of small quadcopter drones and meet the demands of obstacle perception in dynamic environments, a LiDAR-based obstacle perception algorithm is proposed. First, accumulation, filtering, and clustering processes are carried out on the LiDAR point cloud data to complete the segmentation and extraction of point cloud obstacles. Then, an obstacle motion/static discrimination algorithm based on three-dimensional point motion attributes is developed to classify dynamic and static point clouds. Finally, oriented bounding box (OBB) detection is employed to simplify the representation of the spatial position and shape of dynamic point cloud obstacles, and motion estimation is achieved by tracking the OBB parameters using a Kalman filter. Simulation experiments demonstrate that this method can ensure a dynamic obstacle detection frequency of 10 Hz and successfully detect multiple dynamic obstacles in the environment.","","Drones","1","10.3390/drones9080540","https://consensus.app/papers/dynamic-obstacle-perception-technology-for-uavs-based-on-xia-song/716513e6062552f8936dadc05d6f00f5/"
"Optimization for Arbitrary-Oriented Object Detection via Representation Invariance Loss","Representation invariance loss (RIL) improves bounding box regression for rotating objects in remote sensing images, achieving consistent and substantial improvement in object detection accuracy.","Qi Ming, Lingjuan Miao, Zhiqiang Zhou, Xue Yang, Yunpeng Dong",2021,104,"Arbitrary-oriented objects exist widely in remote sensing images. The mainstream rotation detectors use oriented bounding boxes (OBBs) or quadrilateral bounding boxes (QBBs) to represent the rotating objects. However, these methods suffer from the representation ambiguity for oriented object definition, which leads to suboptimal regression optimization and the inconsistency between the loss metric and the localization accuracy of the predictions. In this letter, we propose a representation invariance loss (RIL) to optimize the bounding box regression for the rotating objects in the remote sensing images. RIL treats multiple representations of an oriented object as multiple equivalent local minima and hence transforms bounding box regression into an adaptive matching process with these local minima. Next, the Hungarian matching algorithm is adopted to obtain the optimal regression strategy. Besides, we propose a normalized rotation loss to alleviate the weak correlation between different variables and their unbalanced loss contribution in OBB representation. Extensive experiments on remote sensing datasets show that our method achieves consistent and substantial improvement. The code and models are available at https://github.com/ming71/RIDet to facilitate future research.","","IEEE Geoscience and Remote Sensing Letters","1","10.1109/lgrs.2021.3115110","https://consensus.app/papers/optimization-for-arbitraryoriented-object-detection-via-ming-miao/c48dbc6e295b55d499a9eb0912236df3/"
